symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,call_debit_spread,2026-03-23T18:34:00+00:00,2026-03-23T18:42:00+00:00,2026-03-24,658.85,658.81,1.8866,1.8709,-0.0157,-1.57,-0.8307,0.1445,signal_exit,BUY 1 SPY 2026-03-24 658 CALL ; SELL 1 SPY 2026-03-24 663 CALL
SPY,put_debit_spread,2026-03-24T17:11:00+00:00,2026-03-24T17:15:00+00:00,2026-03-25,653.12,652.99,2.0252,2.0812,0.056,5.6,2.766,0.1303,signal_exit,BUY 1 SPY 2026-03-25 654 PUT ; SELL 1 SPY 2026-03-25 648 PUT
QQQ,put_debit_spread,2026-03-24T17:38:00+00:00,2026-03-24T17:39:00+00:00,2026-03-25,583.28,583.52,1.3172,1.2601,-0.0571,-5.71,-4.3315,0.1526,signal_exit,BUY 1 QQQ 2026-03-25 584 PUT ; SELL 1 QQQ 2026-03-25 581 PUT
SPY,put_debit_spread,2026-03-24T19:50:00+00:00,2026-03-24T19:58:00+00:00,2026-03-25,653.32,652.79,1.4813,1.6866,0.2053,20.53,13.8594,0.1103,signal_exit,BUY 1 SPY 2026-03-25 654 PUT ; SELL 1 SPY 2026-03-25 650 PUT
QQQ,put_debit_spread,2026-03-24T19:52:00+00:00,2026-03-24T19:59:00+00:00,2026-03-25,583.65,583.93,1.3724,1.271,-0.1014,-10.14,-7.3921,0.1269,signal_exit,BUY 1 QQQ 2026-03-25 584 PUT ; SELL 1 QQQ 2026-03-25 580 PUT
QQQ,call_debit_spread,2026-03-25T17:43:00+00:00,2026-03-25T17:44:00+00:00,2026-03-26,590.13,589.97,1.2785,1.2217,-0.0568,-5.68,-4.4398,0.1186,signal_exit,BUY 1 QQQ 2026-03-26 590 CALL ; SELL 1 QQQ 2026-03-26 594 CALL
SPY,put_debit_spread,2026-03-26T14:44:00+00:00,2026-03-26T14:55:00+00:00,2026-03-27,652.66,651.62,2.0966,2.2961,0.1995,19.95,9.5156,0.2688,signal_exit,BUY 1 SPY 2026-03-27 653 PUT ; SELL 1 SPY 2026-03-27 648 PUT
QQQ,put_debit_spread,2026-03-26T16:17:00+00:00,2026-03-26T16:18:00+00:00,2026-03-27,579.71,580.36,1.3956,1.1826,-0.2131,-21.31,-15.2659,0.1292,signal_exit,BUY 1 QQQ 2026-03-27 580 PUT ; SELL 1 QQQ 2026-03-27 576 PUT
SPY,put_debit_spread,2026-03-26T16:17:00+00:00,2026-03-26T16:18:00+00:00,2026-03-27,650.23,650.8,1.5226,1.3116,-0.211,-21.1,-13.8563,0.1051,signal_exit,BUY 1 SPY 2026-03-27 651 PUT ; SELL 1 SPY 2026-03-27 647 PUT
QQQ,put_debit_spread,2026-03-26T16:29:00+00:00,2026-03-26T16:34:00+00:00,2026-03-27,579.04,578.9,1.832,1.8904,0.0584,5.84,3.1851,0.1303,signal_exit,BUY 1 QQQ 2026-03-27 580 PUT ; SELL 1 QQQ 2026-03-27 575 PUT
SPY,put_debit_spread,2026-03-26T16:29:00+00:00,2026-03-26T16:34:00+00:00,2026-03-27,649.47,649.39,1.5985,1.6317,0.0332,3.32,2.0777,0.1077,signal_exit,BUY 1 SPY 2026-03-27 650 PUT ; SELL 1 SPY 2026-03-27 645 PUT
QQQ,put_debit_spread,2026-03-26T16:50:00+00:00,2026-03-26T16:54:00+00:00,2026-03-27,578.26,578.76,1.2826,1.1404,-0.1422,-14.22,-11.0896,0.1241,signal_exit,BUY 1 QQQ 2026-03-27 579 PUT ; SELL 1 QQQ 2026-03-27 576 PUT
QQQ,put_debit_spread,2026-03-26T17:26:00+00:00,2026-03-26T17:29:00+00:00,2026-03-27,577.49,577.81,1.4017,1.2802,-0.1215,-12.15,-8.6674,0.1155,signal_exit,BUY 1 QQQ 2026-03-27 578 PUT ; SELL 1 QQQ 2026-03-27 574 PUT
QQQ,put_debit_spread,2026-03-26T17:44:00+00:00,2026-03-26T17:51:00+00:00,2026-03-27,576.98,576.17,1.0399,1.2887,0.2488,24.88,23.9223,0.1148,signal_exit,BUY 1 QQQ 2026-03-27 577 PUT ; SELL 1 QQQ 2026-03-27 574 PUT
SPY,put_debit_spread,2026-03-26T17:47:00+00:00,2026-03-26T18:00:00+00:00,2026-03-27,647.89,647.04,1.0574,1.3256,0.2682,26.82,25.3588,0.1,signal_exit,BUY 1 SPY 2026-03-27 648 PUT ; SELL 1 SPY 2026-03-27 645 PUT
QQQ,put_debit_spread,2026-03-26T19:11:00+00:00,2026-03-26T19:15:00+00:00,2026-03-27,574.81,575.42,1.1637,0.9214,-0.2423,-24.23,-20.8177,0.1,signal_exit,BUY 1 QQQ 2026-03-27 575 PUT ; SELL 1 QQQ 2026-03-27 571 PUT
SPY,put_debit_spread,2026-03-26T19:11:00+00:00,2026-03-26T19:15:00+00:00,2026-03-27,646.04,646.53,1.705,1.4708,-0.2342,-23.42,-13.7361,0.1,signal_exit,BUY 1 SPY 2026-03-27 647 PUT ; SELL 1 SPY 2026-03-27 642 PUT
QQQ,put_debit_spread,2026-03-26T19:26:00+00:00,2026-03-26T19:29:00+00:00,2026-03-27,574.75,575.1,1.0418,0.9218,-0.1201,-12.01,-11.5232,0.1,signal_exit,BUY 1 QQQ 2026-03-27 575 PUT ; SELL 1 QQQ 2026-03-27 572 PUT
SPY,put_debit_spread,2026-03-26T19:26:00+00:00,2026-03-26T19:35:00+00:00,2026-03-27,645.98,646.02,0.7794,0.7699,-0.0095,-0.95,-1.2197,0.1,signal_exit,BUY 1 SPY 2026-03-27 646 PUT ; SELL 1 SPY 2026-03-27 644 PUT
QQQ,put_debit_spread,2026-03-26T19:44:00+00:00,2026-03-26T19:49:00+00:00,2026-03-27,574.38,574.47,1.1722,1.1388,-0.0334,-3.34,-2.8455,0.1,signal_exit,BUY 1 QQQ 2026-03-27 575 PUT ; SELL 1 QQQ 2026-03-27 572 PUT
SPY,put_debit_spread,2026-03-26T19:46:00+00:00,2026-03-26T19:51:00+00:00,2026-03-27,645.5,645.47,1.1657,1.175,0.0093,0.93,0.8004,0.1,signal_exit,BUY 1 SPY 2026-03-27 646 PUT ; SELL 1 SPY 2026-03-27 643 PUT
