timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,primary_return_pct
2025-10-01T16:10:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6695.54,6685.0,291.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6645.0,6685.0,6725.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-01T16:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6693.79,6690.0,292.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6650.0,6690.0,6730.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-01T16:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6695.71,6685.0,,Corridor drift started.,,,,,,,,,,,,,10.71,,,,,,,,
2025-10-01T16:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6694.29,6685.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-01T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6701.92,6690.0,,Corridor drift started.,,,,,,,,,,,,,11.92,,,,,,,,
2025-10-01T17:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6703.74,6695.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-01T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6707.23,6695.0,,Corridor drift started.,,,,,,,,,,,,,12.23,,,,,,,,
2025-10-01T18:35:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6715.36,6700.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,15.36,8.0,,,,,,,
2025-10-01T18:40:00+00:00,SPX,REBUILT,REBUILD,6716.57,6685.0,291.0,Removed prior layers for rebuild.,PRIMARY,6645.0,6685.0,6725.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.3596,12.2738,-0.2864,1.7138,0.086,conservative,
2025-10-01T18:40:00+00:00,SPX,REBUILT,REBUILD,6716.57,6690.0,292.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6650.0,6690.0,6730.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.6006,12.5573,-0.0454,1.9973,0.086,conservative,
2025-10-01T18:40:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6716.57,6700.0,293.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6660.0,6700.0,6740.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-01T18:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6717.75,6700.0,,Corridor drift started.,,,,,,,,,,,,,17.75,,,,,,,,
2025-10-01T19:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6713.57,6705.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-01T19:20:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6712.45,6710.0,294.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-01T19:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6715.72,6705.0,,Corridor drift started.,,,,,,,,,,,,,10.72,,,,,,,,
2025-10-01T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,6715.5,6700.0,293.0,Session window closed.,PRIMARY,6660.0,6700.0,6740.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.0831,13.1249,0.4371,2.5649,0.086,conservative,
2025-10-01T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,6715.5,6710.0,294.0,Session window closed.,SUPPLEMENTAL,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.5263,13.6464,0.8803,3.0864,0.086,conservative,
2025-10-02T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6715.22,6710.0,295.0,Opened the primary butterfly corridor layer.,PRIMARY,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-02T14:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6707.93,6710.0,296.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-02T14:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6701.09,6715.0,,Corridor drift started.,,,,,,,,,,,,,13.91,,,,,,,,
2025-10-02T15:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6702.2,6710.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-02T15:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6698.52,6710.0,,Corridor drift started.,,,,,,,,,,,,,11.48,,,,,,,,
2025-10-02T15:50:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6705.17,6710.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-02T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6715.45,6705.0,,Corridor drift started.,,,,,,,,,,,,,10.45,,,,,,,,
2025-10-02T18:35:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6722.09,6710.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,12.09,8.0,,,,,,,
2025-10-02T18:40:00+00:00,SPX,REBUILT,REBUILD,6720.69,6710.0,295.0,Removed prior layers for rebuild.,PRIMARY,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.4749,13.5859,0.8289,3.0259,0.086,conservative,
2025-10-02T18:40:00+00:00,SPX,REBUILT,REBUILD,6720.69,6710.0,296.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.4373,13.5416,0.7913,2.9816,0.086,conservative,
2025-10-02T18:40:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6720.69,6710.0,297.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-02T18:45:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6719.41,6715.0,298.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6675.0,6715.0,6755.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-02T18:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6720.48,6710.0,,Corridor drift started.,,,,,,,,,,,,,10.48,,,,,,,,
2025-10-02T18:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6719.32,6710.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-10-02T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6717.12,6710.0,297.0,Session window closed.,PRIMARY,6670.0,6710.0,6750.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.4799,13.5917,0.8339,3.0317,0.086,conservative,
2025-10-02T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6717.12,6715.0,298.0,Session window closed.,SUPPLEMENTAL,6675.0,6715.0,6755.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.7126,13.8655,1.0666,3.3055,0.086,conservative,
2025-10-03T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6732.42,6720.0,299.0,Opened the primary butterfly corridor layer.,PRIMARY,6680.0,6720.0,6760.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-03T14:00:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6727.69,6725.0,300.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6685.0,6725.0,6765.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-10-03T14:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6731.07,6720.0,,Corridor drift started.,,,,,,,,,,,,,11.07,,,,,,,,
2025-10-03T14:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6733.21,6725.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
