config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
symmetric_bw0_w80_tol15_rt16_dp8_cd60,symmetric,0.0,80.0,160.0,15.0,16.0,8,60,84306.5021,0.843065,-1432.79,0.656,0.332,520,0.961538,118.338543,166.817599,1355.1548,-135.7399,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt14_dp8_cd90,broken_lower,20.0,60.0,120.0,15.0,14.0,8,90,84066.3846,0.840664,-3794.99,0.656,0.296,513,0.976608,29.96156,30.990471,1123.8664,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol12p5_rt16_dp10_cd90,broken_upper,20.0,60.0,120.0,12.5,16.0,10,90,83918.5592,0.839186,-3841.8599999999997,0.5972,0.312,520,0.95,14.935,15.493844,1351.7403,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol10_rt18_dp10_cd90,broken_upper,20.0,60.0,120.0,10.0,18.0,10,90,83802.102,0.838021,-3841.8599999999997,0.5177,0.344,527,0.962049,12.472635,12.916365,1352.7807,-2775.1995,6801.2,6812.4
broken_lower_bw20_w60_tol12p5_rt18_dp10_cd90,broken_lower,20.0,60.0,120.0,12.5,18.0,10,90,83627.9522,0.83628,-3794.99,0.5972,0.272,507,0.982249,30.349031,30.847308,1625.1521,-2767.4469,6801.2,6812.4
symmetric_bw0_w80_tol15_rt14_dp8_cd90,symmetric,0.0,80.0,160.0,15.0,14.0,8,90,83560.8525,0.835609,-1432.79,0.656,0.304,515,0.959223,115.882424,165.351024,1349.8991,-135.7399,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt16_dp8_cd90,broken_lower,20.0,60.0,120.0,15.0,16.0,8,90,83280.869,0.832809,-3794.99,0.656,0.284,508,0.976378,29.690942,30.71024,1271.5862,-2767.4469,6801.2,6812.4
symmetric_bw0_w80_tol12p5_rt18_dp10_cd90,symmetric,0.0,80.0,160.0,12.5,18.0,10,90,83225.9778,0.83226,-1432.79,0.5972,0.28,509,0.964637,160.583678,227.570729,1510.7215,-126.1455,6361.8,6378.6
symmetric_bw0_w80_tol15_rt16_dp8_cd90,symmetric,0.0,80.0,160.0,15.0,16.0,8,90,82800.3807,0.828004,-1432.79,0.656,0.292,510,0.958824,111.372586,163.855296,1202.3563,-135.7399,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt18_dp8_cd60,broken_lower,20.0,60.0,120.0,15.0,18.0,8,60,82417.9733,0.82418,-3794.99,0.656,0.292,504,0.978175,29.476079,30.402405,1445.5614,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol12p5_rt18_dp10_cd60,broken_upper,20.0,60.0,120.0,12.5,18.0,10,60,82296.0487,0.82296,-3841.8599999999997,0.5972,0.3,513,0.951267,14.788156,15.213615,1518.4489,-2775.1995,6801.2,6812.4
symmetric_bw0_w80_tol15_rt18_dp8_cd60,symmetric,0.0,80.0,160.0,15.0,18.0,8,60,82133.7416,0.821337,-1432.79,0.656,0.304,507,0.960552,115.314507,162.544122,1353.1229,-135.7399,6361.8,6378.6
