timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-10-28T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6878.37,6865.0,564.0,Opened the primary butterfly corridor layer.,PRIMARY,6850.0,6865.0,6880.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-28T13:50:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6874.74,6870.0,565.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6855.0,6870.0,6885.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-28T13:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6878.78,6870.0,566.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6855.0,6870.0,6885.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-28T18:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6905.42,6890.0,,Corridor drift started.,,,,,,,,,,,,,15.42,,,,,,
2025-10-28T18:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6903.26,6890.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,
2025-10-28T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6902.93,6865.0,564.0,Session window closed.,PRIMARY,6850.0,6865.0,6880.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-28T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6902.93,6870.0,565.0,Session window closed.,SUPPLEMENTAL,6855.0,6870.0,6885.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-28T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6902.93,6870.0,566.0,Session window closed.,SUPPLEMENTAL,6855.0,6870.0,6885.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-29T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6912.6,6900.0,567.0,Opened the primary butterfly corridor layer.,PRIMARY,6885.0,6900.0,6915.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-29T13:50:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6916.31,6910.0,568.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6895.0,6910.0,6925.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-29T13:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6919.49,6910.0,569.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6895.0,6910.0,6925.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
2025-10-29T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,6858.86,6900.0,567.0,Regime turned TREND_DOWN.,PRIMARY,6885.0,6900.0,6915.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-29T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,6858.86,6910.0,568.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,6895.0,6910.0,6925.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-29T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,6858.86,6910.0,569.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,6895.0,6910.0,6925.0,15.0,7.0,3.356,3.3,,0.056,1.0,100.0,,,0.0,0.0,-3.356,-3.3,0.056
2025-10-29T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6856.71,6900.0,570.0,Opened the primary butterfly corridor layer.,PRIMARY,6885.0,6900.0,6915.0,15.0,7.0,3.356,3.3,0.056,0.056,1.0,100.0,,,,,,,
