timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,friction_cost,close_value,realized_pnl,drift_distance
2025-08-29T14:10:00+00:00,SPY,ABORTED,DRIFTING,644.33,647.0,191.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,642.0,647.0,652.0,5.0,5.0,1.156,,1.6023,0.4463,
2025-08-29T14:35:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,644.97,647.0,192.0,Opened the primary butterfly corridor layer.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,0.056,,,
2025-08-29T14:40:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,644.2,646.0,193.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,641.0,646.0,651.0,5.0,5.0,1.156,0.056,,,
2025-08-29T14:45:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,643.71,647.0,192.0,Regime turned TREND_DOWN.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,,1.536,0.38,
2025-08-29T14:45:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,643.71,646.0,193.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,641.0,646.0,651.0,5.0,5.0,1.156,,1.6384,0.4824,
2025-08-29T15:00:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,644.08,647.0,194.0,Opened the primary butterfly corridor layer.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,0.056,,,
2025-08-29T15:05:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,644.64,646.0,195.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,641.0,646.0,651.0,5.0,5.0,1.156,0.056,,,
2025-08-29T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,644.44,647.0,194.0,Session window closed.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,,1.6679,0.5119,
2025-08-29T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,644.44,646.0,195.0,Session window closed.,SUPPLEMENTAL,641.0,646.0,651.0,5.0,5.0,1.156,,1.7815,0.6255,
2025-09-02T17:25:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,637.64,637.0,196.0,Opened the primary butterfly corridor layer.,PRIMARY,632.0,637.0,642.0,5.0,5.0,1.156,0.056,,,
