timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,primary_return_pct
2026-01-15T16:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6975.22,6950.0,428.0,Opened the primary butterfly corridor layer.,PRIMARY,6850.0,6950.0,7030.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2026-01-15T16:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6973.45,6950.0,,Corridor drift started.,,,,,,,,,,,,,,,,,23.45,,,,,,,,
2026-01-15T17:00:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6978.67,6960.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,18.67,8.0,,,,,,,
2026-01-15T17:05:00+00:00,SPX,REBUILT,REBUILD,6978.96,6950.0,428.0,Removed prior layers for rebuild.,PRIMARY,6850.0,6950.0,7030.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,,0.086,,1.0,100.0,,,20.9458,24.7281,1.6598,5.5281,0.086,conservative,
2026-01-15T17:05:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6978.96,6965.0,429.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6865.0,6965.0,7045.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2026-01-15T17:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6974.92,6970.0,430.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6870.0,6970.0,7050.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2026-01-15T19:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6956.87,6970.0,,Corridor drift started.,,,,,,,,,,,,,,,,,13.13,,,,,,,,
2026-01-15T19:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6958.95,6970.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-15T19:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6956.68,6970.0,,Corridor drift started.,,,,,,,,,,,,,,,,,13.32,,,,,,,,
2026-01-15T20:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6942.7,6965.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,22.3,8.0,,,,,,,
2026-01-15T20:30:00+00:00,SPX,REBUILT,REBUILD,6943.12,6965.0,429.0,Removed prior layers for rebuild.,PRIMARY,6865.0,6965.0,7045.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.7726,25.7009,2.4866,6.5009,0.086,conservative,
2026-01-15T20:30:00+00:00,SPX,REBUILT,REBUILD,6943.12,6970.0,430.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6870.0,6970.0,7050.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.5525,25.4419,2.2665,6.2419,0.086,conservative,
2026-01-15T20:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6943.12,6965.0,431.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6865.0,6965.0,7045.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,0.086,0.086,39.286,1.0,100.0,,,,,,,,,
2026-01-15T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6941.73,6965.0,431.0,Session window closed.,PRIMARY,6865.0,6965.0,7045.0,80.0,100.0,80.0,broken_lower,7.0,19.286,19.2,,0.086,,1.0,100.0,,,21.4109,25.2753,2.1249,6.0753,0.086,conservative,
