timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count,primary_return_pct
2025-06-23T18:20:00+00:00,SPX,REBUILT,REBUILD,6010.1,5975.0,75.0,Removed prior layers for rebuild.,PRIMARY,5915.0,5975.0,6035.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.2065,19.1524,0.2805,3.3124,0.086,conservative,,
2025-06-23T18:20:00+00:00,SPX,REBUILT,REBUILD,6010.1,5985.0,76.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5925.0,5985.0,6045.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.6835,19.7136,0.7575,3.8736,0.086,conservative,,
2025-06-23T18:20:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6010.1,5990.0,77.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5930.0,5990.0,6050.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-23T18:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6007.63,6000.0,78.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5940.0,6000.0,6060.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-23T18:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6010.28,5990.0,,Corridor drift started.,,,,,,,,,,,,,20.28,,,,,,,,
2025-06-23T18:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6008.79,5990.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-23T19:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6015.82,5995.0,,Corridor drift started.,,,,,,,,,,,,,20.82,,,,,,,,
2025-06-23T19:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6012.72,5995.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-23T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6016.25,5990.0,77.0,Session window closed.,PRIMARY,5930.0,5990.0,6050.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.5068,19.5058,0.5808,3.6658,0.086,conservative,,
2025-06-23T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6016.25,6000.0,78.0,Session window closed.,SUPPLEMENTAL,5940.0,6000.0,6060.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.979,20.0613,1.053,4.2213,0.086,conservative,,
2025-06-24T17:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6087.33,6085.0,79.0,Opened the primary butterfly corridor layer.,PRIMARY,6025.0,6085.0,6145.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-24T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6099.82,6085.0,79.0,Session window closed.,PRIMARY,6025.0,6085.0,6145.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.1099,20.2152,1.1839,4.3752,0.086,conservative,,
2025-06-25T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6105.94,6095.0,80.0,Opened the primary butterfly corridor layer.,PRIMARY,6035.0,6095.0,6155.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-25T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6088.17,6095.0,80.0,Session window closed.,PRIMARY,6035.0,6095.0,6155.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.74,20.9566,1.814,5.1166,0.086,conservative,,
2025-06-26T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6115.85,6095.0,81.0,Opened the primary butterfly corridor layer.,PRIMARY,6035.0,6095.0,6155.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-26T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6118.52,6095.0,,Corridor drift started.,,,,,,,,,,,,,23.52,,,,,,,,
2025-06-26T14:45:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6127.63,6105.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,22.63,,,,,,,10.0,
2025-06-26T14:50:00+00:00,SPX,REBUILT,REBUILD,6128.0,6095.0,81.0,Removed prior layers for rebuild.,PRIMARY,6035.0,6095.0,6155.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.1688,19.1081,0.2428,3.2681,0.086,conservative,,
2025-06-26T14:50:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6128.0,6105.0,82.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6045.0,6105.0,6165.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
