timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2026-03-18T14:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6682.13,6715.0,6290,Primary take-profit reached.,PRIMARY,6635.0,6715.0,6795.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.499,26.7212,26.9472,8.8952,9.3472,0.226,0.2,0.026,none
2026-03-18T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6669.25,6710.0,6291,Opened the primary butterfly corridor layer.,PRIMARY,6630.0,6710.0,6790.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T14:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6671.32,6710.0,6291,Primary take-profit reached.,PRIMARY,6630.0,6710.0,6790.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.4649,26.113,26.339,8.287,8.739,0.226,0.2,0.026,none
2026-03-18T15:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6680.5,6700.0,6292,Opened the primary butterfly corridor layer.,PRIMARY,6620.0,6700.0,6780.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6689.03,6700.0,6292,Primary take-profit reached.,PRIMARY,6620.0,6700.0,6780.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6276,29.0138,29.2398,11.1878,11.6398,0.226,0.2,0.026,none
2026-03-18T15:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6684.52,6700.0,6293,Opened the primary butterfly corridor layer.,PRIMARY,6620.0,6700.0,6780.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6678.32,6700.0,6293,Primary take-profit reached.,PRIMARY,6620.0,6700.0,6780.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5647,27.8926,28.1186,10.0666,10.5186,0.226,0.2,0.026,none
2026-03-18T15:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6680.5,6695.0,6294,Opened the primary butterfly corridor layer.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6678.81,6695.0,6294,Primary take-profit reached.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.597,28.4673,28.6933,10.6413,11.0933,0.226,0.2,0.026,none
2026-03-18T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6683.03,6695.0,6295,Opened the primary butterfly corridor layer.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6683.26,6695.0,6295,Primary take-profit reached.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6231,28.9332,29.1592,11.1072,11.5592,0.226,0.2,0.026,none
2026-03-18T15:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6680.79,6695.0,6296,Opened the primary butterfly corridor layer.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6677.87,6695.0,6296,Primary take-profit reached.,PRIMARY,6615.0,6695.0,6775.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5914,28.3689,28.5949,10.5429,10.9949,0.226,0.2,0.026,none
2026-03-18T15:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6681.46,6690.0,6297,Opened the primary butterfly corridor layer.,PRIMARY,6610.0,6690.0,6770.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T15:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6679.79,6690.0,6297,Primary take-profit reached.,PRIMARY,6610.0,6690.0,6770.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6321,29.0933,29.3193,11.2673,11.7193,0.226,0.2,0.026,none
