config_name,stage,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,max_layers,primary_stop_loss_pct,primary_take_profit_pct,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p2_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,1,0.2,0.25,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p25_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,1,0.25,0.15,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p25_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,1,0.25,0.25,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p25_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,1,0.25,0.2,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p3_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,1,0.3,0.15,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p3_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,1,0.3,0.2,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p3_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,1,0.3,0.25,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p2_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,1,0.2,0.15,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p2_tp0p2,refine,80.0,160.0,12.5,16.0,8,90,1,0.2,0.2,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p2_tp0p25,refine,80.0,160.0,12.5,16.0,8,90,1,0.2,0.25,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p25_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,1,0.25,0.15,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p25_tp0p2,refine,80.0,160.0,12.5,16.0,8,90,1,0.25,0.2,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p25_tp0p25,refine,80.0,160.0,12.5,16.0,8,90,1,0.25,0.25,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml1_sl0p3_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,1,0.3,0.15,46619.4833,0.466195,-706.1,0.5972,0.408,317,0.958991,124.178984,280.891065,896.0936,-45.9136,4241.2
