timestamp,symbol,week_key,action,state,price,center_price,layer_id,detail,kind,body_strike,lower_strike,upper_strike,width,dte,entry_cost,entry_debit,entry_friction_cost,gross_deployment,adjustments_this_week,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-10-20T14:30:00+00:00,SPX,2025-10-20,ADD_ADJUSTMENT,ADJUSTED,6721.19,0.0,111,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6720.0,6620.0,6820.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-10-24T19:00:00+00:00,SPX,2025-10-20,EXIT_WEEK,EXITED,6806.06,0.0,108,Forced weekly exit window reached.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-24T19:00:00+00:00,SPX,2025-10-20,EXIT_WEEK,EXITED,6806.06,0.0,109,Forced weekly exit window reached.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-24T19:00:00+00:00,SPX,2025-10-20,EXIT_WEEK,EXITED,6806.06,0.0,110,Forced weekly exit window reached.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-24T19:00:00+00:00,SPX,2025-10-20,EXIT_WEEK,EXITED,6806.06,0.0,111,Forced weekly exit window reached.,ADJUSTMENT,6720.0,6620.0,6820.0,100.0,,,,,,,37.7405,37.7965,15.6845,15.7965,0.056
2025-10-27T14:00:00+00:00,SPX,2025-10-27,DEPLOY_INITIAL,ACTIVE,6856.46,0.0,112,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-10-27T14:00:00+00:00,SPX,2025-10-27,DEPLOY_INITIAL,ACTIVE,6856.46,0.0,113,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-10-27T14:00:00+00:00,SPX,2025-10-27,DEPLOY_INITIAL,ACTIVE,6856.46,0.0,114,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-10-27T14:30:00+00:00,SPX,2025-10-27,ADD_ADJUSTMENT,ADJUSTED,6852.96,0.0,115,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6855.0,6755.0,6955.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-10-28T19:30:00+00:00,SPX,2025-10-27,ABORT,ABORTED,6908.22,0.0,112,Aborted on trend-dominant week.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-28T19:30:00+00:00,SPX,2025-10-27,ABORT,ABORTED,6908.22,0.0,113,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-28T19:30:00+00:00,SPX,2025-10-27,ABORT,ABORTED,6908.22,0.0,114,Aborted on trend-dominant week.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-10-28T19:30:00+00:00,SPX,2025-10-27,ABORT,ABORTED,6908.22,0.0,115,Aborted on trend-dominant week.,ADJUSTMENT,6855.0,6755.0,6955.0,100.0,,,,,,,34.438,34.494,12.382,12.494,0.056
2025-11-03T15:00:00+00:00,SPX,2025-11-03,DEPLOY_INITIAL,ACTIVE,6842.96,0.0,116,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-03T15:00:00+00:00,SPX,2025-11-03,DEPLOY_INITIAL,ACTIVE,6842.96,0.0,117,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-03T15:00:00+00:00,SPX,2025-11-03,DEPLOY_INITIAL,ACTIVE,6842.96,0.0,118,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-03T15:30:00+00:00,SPX,2025-11-03,ADD_ADJUSTMENT,ADJUSTED,6824.09,0.0,119,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6825.0,6725.0,6925.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-11-07T17:00:00+00:00,SPX,2025-11-03,ABORT,ABORTED,6635.63,0.0,116,Aborted on trend-dominant week.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-07T17:00:00+00:00,SPX,2025-11-03,ABORT,ABORTED,6635.63,0.0,117,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-07T17:00:00+00:00,SPX,2025-11-03,ABORT,ABORTED,6635.63,0.0,118,Aborted on trend-dominant week.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-07T17:00:00+00:00,SPX,2025-11-03,ABORT,ABORTED,6635.63,0.0,119,Aborted on trend-dominant week.,ADJUSTMENT,6825.0,6725.0,6925.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-10T15:00:00+00:00,SPX,2025-11-10,DEPLOY_INITIAL,ACTIVE,6807.62,0.0,120,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-10T15:00:00+00:00,SPX,2025-11-10,DEPLOY_INITIAL,ACTIVE,6807.62,0.0,121,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-10T15:00:00+00:00,SPX,2025-11-10,DEPLOY_INITIAL,ACTIVE,6807.62,0.0,122,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-10T15:30:00+00:00,SPX,2025-11-10,ADD_ADJUSTMENT,ADJUSTED,6807.44,0.0,123,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6805.0,6705.0,6905.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-11-14T20:00:00+00:00,SPX,2025-11-10,EXIT_WEEK,EXITED,6766.17,0.0,120,Forced weekly exit window reached.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-14T20:00:00+00:00,SPX,2025-11-10,EXIT_WEEK,EXITED,6766.17,0.0,121,Forced weekly exit window reached.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-14T20:00:00+00:00,SPX,2025-11-10,EXIT_WEEK,EXITED,6766.17,0.0,122,Forced weekly exit window reached.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-14T20:00:00+00:00,SPX,2025-11-10,EXIT_WEEK,EXITED,6766.17,0.0,123,Forced weekly exit window reached.,ADJUSTMENT,6805.0,6705.0,6905.0,100.0,,,,,,,45.6543,45.7103,23.5983,23.7103,0.056
2025-11-17T15:00:00+00:00,SPX,2025-11-17,DEPLOY_INITIAL,ACTIVE,6732.74,0.0,124,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-17T15:00:00+00:00,SPX,2025-11-17,DEPLOY_INITIAL,ACTIVE,6732.74,0.0,125,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-17T15:00:00+00:00,SPX,2025-11-17,DEPLOY_INITIAL,ACTIVE,6732.74,0.0,126,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-17T15:30:00+00:00,SPX,2025-11-17,ADD_ADJUSTMENT,ADJUSTED,6726.78,0.0,127,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6725.0,6625.0,6825.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-11-18T15:00:00+00:00,SPX,2025-11-17,ABORT,ABORTED,6585.8,0.0,124,Aborted on trend-dominant week.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-18T15:00:00+00:00,SPX,2025-11-17,ABORT,ABORTED,6585.8,0.0,125,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-18T15:00:00+00:00,SPX,2025-11-17,ABORT,ABORTED,6585.8,0.0,126,Aborted on trend-dominant week.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-18T15:00:00+00:00,SPX,2025-11-17,ABORT,ABORTED,6585.8,0.0,127,Aborted on trend-dominant week.,ADJUSTMENT,6725.0,6625.0,6825.0,100.0,,,,,,,0.0,0.0382,-22.056,-21.9618,0.056
2025-11-24T15:00:00+00:00,SPX,2025-11-24,DEPLOY_INITIAL,ACTIVE,6666.14,0.0,128,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-24T15:00:00+00:00,SPX,2025-11-24,DEPLOY_INITIAL,ACTIVE,6666.14,0.0,129,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-24T15:00:00+00:00,SPX,2025-11-24,DEPLOY_INITIAL,ACTIVE,6666.14,0.0,130,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-11-24T15:30:00+00:00,SPX,2025-11-24,ADD_ADJUSTMENT,ADJUSTED,6673.51,0.0,131,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6675.0,6575.0,6775.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
2025-11-26T16:30:00+00:00,SPX,2025-11-24,ABORT,ABORTED,6822.17,0.0,128,Aborted on trend-dominant week.,INITIAL,-100.0,-200.0,0.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-26T16:30:00+00:00,SPX,2025-11-24,ABORT,ABORTED,6822.17,0.0,129,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-26T16:30:00+00:00,SPX,2025-11-24,ABORT,ABORTED,6822.17,0.0,130,Aborted on trend-dominant week.,INITIAL,100.0,0.0,200.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-11-26T16:30:00+00:00,SPX,2025-11-24,ABORT,ABORTED,6822.17,0.0,131,Aborted on trend-dominant week.,ADJUSTMENT,6675.0,6575.0,6775.0,100.0,,,,,,,0.0,0.0,-22.056,-22.0,0.056
2025-12-01T19:00:00+00:00,SPX,2025-12-01,DEPLOY_INITIAL,ACTIVE,6836.22,0.0,132,Opened an initial weekly butterfly layer.,INITIAL,-100.0,-200.0,0.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-12-01T19:00:00+00:00,SPX,2025-12-01,DEPLOY_INITIAL,ACTIVE,6836.22,0.0,133,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-12-01T19:00:00+00:00,SPX,2025-12-01,DEPLOY_INITIAL,ACTIVE,6836.22,0.0,134,Opened an initial weekly butterfly layer.,INITIAL,100.0,0.0,200.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-12-01T19:30:00+00:00,SPX,2025-12-01,ADD_ADJUSTMENT,ADJUSTED,6817.68,0.0,135,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6820.0,6720.0,6920.0,100.0,12.0,22.056,22.0,0.056,22.056,1.0,,,,,
