timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count
2025-06-11T18:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6023.35,6035.0,,Corridor drift started.,,,,,,,,,,,,,11.65,,,,,,,,
2025-06-11T19:30:00+00:00,SPX,STOP_LOSS,DRIFTING,6007.26,6040.0,79.0,Primary stop-loss reached.,PRIMARY,6010.0,6040.0,6070.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9965,0.0277,0.1185,-7.9783,-7.8015,0.086,conservative,
2025-06-12T14:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6017.72,6020.0,80.0,Opened the primary butterfly corridor layer.,PRIMARY,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-12T14:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6027.56,6025.0,81.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5995.0,6025.0,6055.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-12T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6031.1,6020.0,,Corridor drift started.,,,,,,,,,,,,,11.1,,,,,,,,
2025-06-12T14:50:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6038.03,6020.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,18.03,,,,,,,,8.0
2025-06-12T14:55:00+00:00,SPX,REBUILT,REBUILD,6035.71,6020.0,80.0,Removed prior layers for rebuild.,PRIMARY,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,8.1158,9.6341,0.1098,1.7141,0.086,conservative,
2025-06-12T14:55:00+00:00,SPX,REBUILT,REBUILD,6035.71,6025.0,81.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5995.0,6025.0,6055.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,8.3473,9.9064,0.3413,1.9864,0.086,conservative,
2025-06-12T14:55:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6035.71,6020.0,82.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-12T15:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6044.01,6025.0,,Corridor drift started.,,,,,,,,,,,,,19.01,,,,,,,,
2025-06-12T15:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6028.89,6025.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-12T15:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6032.68,6030.0,83.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6000.0,6030.0,6060.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-12T16:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6041.61,6030.0,,Corridor drift started.,,,,,,,,,,,,,11.61,,,,,,,,
2025-06-12T16:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6040.18,6035.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-12T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6040.36,6020.0,82.0,Session window closed.,PRIMARY,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,7.9729,9.4658,-0.0331,1.5458,0.086,conservative,
2025-06-12T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6040.36,6030.0,83.0,Session window closed.,SUPPLEMENTAL,6000.0,6030.0,6060.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,8.4621,10.0414,0.4561,2.1214,0.086,conservative,
2025-06-17T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6015.06,6030.0,84.0,Opened the primary butterfly corridor layer.,PRIMARY,6000.0,6030.0,6060.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-17T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6011.82,6025.0,,Corridor drift started.,,,,,,,,,,,,,13.18,,,,,,,,
2025-06-17T14:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6018.62,6025.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-17T14:20:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6018.03,6020.0,85.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-17T14:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6013.07,6025.0,,Corridor drift started.,,,,,,,,,,,,,11.93,,,,,,,,
2025-06-17T14:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6015.89,6025.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-17T16:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6004.16,6015.0,,Corridor drift started.,,,,,,,,,,,,,10.84,,,,,,,,
2025-06-17T17:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6006.81,6015.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-17T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6003.4,6015.0,,Corridor drift started.,,,,,,,,,,,,,11.6,,,,,,,,
2025-06-17T17:25:00+00:00,SPX,STOP_LOSS,DRIFTING,5996.86,6030.0,84.0,Primary stop-loss reached.,PRIMARY,6000.0,6030.0,6060.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9977,0.0182,0.1074,-7.9878,-7.8126,0.086,conservative,
2025-06-17T17:25:00+00:00,SPX,STOP_LOSS,DRIFTING,5996.86,6020.0,85.0,Primary stop-loss reached.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9977,7.8041,9.2673,-0.2019,1.3473,0.086,conservative,
2025-06-17T17:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6002.19,6015.0,86.0,Opened the primary butterfly corridor layer.,PRIMARY,5985.0,6015.0,6045.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-17T17:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6000.46,6015.0,,Corridor drift started.,,,,,,,,,,,,,14.54,,,,,,,,
2025-06-17T18:00:00+00:00,SPX,STOP_LOSS,DRIFTING,5979.85,6015.0,86.0,Primary stop-loss reached.,PRIMARY,5985.0,6015.0,6045.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-1.0,0.0,0.0586,-8.006,-7.8614,0.086,conservative,
2025-06-18T14:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6016.53,5990.0,87.0,Opened the primary butterfly corridor layer.,PRIMARY,5960.0,5990.0,6020.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-18T14:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6014.8,5995.0,,Corridor drift started.,,,,,,,,,,,,,19.8,,,,,,,,
2025-06-18T15:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6009.79,6000.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T15:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6009.19,6005.0,88.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5975.0,6005.0,6035.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-18T17:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5994.77,6005.0,,Corridor drift started.,,,,,,,,,,,,,10.23,,,,,,,,
2025-06-18T17:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5998.7,6005.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5993.43,6005.0,,Corridor drift started.,,,,,,,,,,,,,11.57,,,,,,,,
2025-06-18T18:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5996.69,6005.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T18:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6010.36,6000.0,,Corridor drift started.,,,,,,,,,,,,,10.36,,,,,,,,
2025-06-18T18:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6001.38,6000.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T18:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5978.61,6000.0,,Corridor drift started.,,,,,,,,,,,,,21.39,,,,,,,,
2025-06-18T19:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5990.13,6000.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T19:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5988.69,6000.0,,Corridor drift started.,,,,,,,,,,,,,11.31,,,,,,,,
2025-06-18T19:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5992.17,6000.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-18T19:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5975.81,5995.0,,Corridor drift started.,,,,,,,,,,,,,19.19,,,,,,,,
2025-06-18T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,5988.12,5990.0,87.0,Session window closed.,PRIMARY,5960.0,5990.0,6020.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,8.9124,10.5712,0.9064,2.6512,0.086,conservative,
2025-06-18T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,5988.12,6005.0,88.0,Session window closed.,SUPPLEMENTAL,5975.0,6005.0,6035.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,,8.1403,9.6629,0.1343,1.7429,0.086,conservative,
2025-06-20T14:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5996.3,5995.0,89.0,Opened the primary butterfly corridor layer.,PRIMARY,5965.0,5995.0,6025.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-20T14:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5982.69,5995.0,,Corridor drift started.,,,,,,,,,,,,,12.31,,,,,,,,
