timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2025-08-26T13:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6440.3,6450.0,963.0,Opened the primary butterfly corridor layer.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-08-26T13:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6438.28,6450.0,963.0,Primary take-profit reached.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2056,14.571,17.2284,2.485,5.2284,0.086,conservative,,
2025-08-26T14:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6440.63,6450.0,964.0,Opened the primary butterfly corridor layer.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-08-26T14:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6440.09,6450.0,964.0,Primary take-profit reached.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.214,14.6721,17.3473,2.5861,5.3473,0.086,conservative,,
2025-08-26T14:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6441.23,6450.0,965.0,Opened the primary butterfly corridor layer.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-08-26T14:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6445.84,6450.0,965.0,Primary take-profit reached.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2405,14.9932,17.725,2.9072,5.725,0.086,conservative,,
2025-08-26T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6444.85,6450.0,966.0,Opened the primary butterfly corridor layer.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-08-26T14:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6442.79,6450.0,966.0,Primary take-profit reached.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2264,14.8228,17.5246,2.7368,5.5246,0.086,conservative,,
2025-08-26T14:35:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6440.46,6450.0,967.0,Opened the primary butterfly corridor layer.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-08-26T14:40:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6442.89,6450.0,967.0,Primary take-profit reached.,PRIMARY,6390.0,6450.0,6550.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2269,14.8284,17.5312,2.7424,5.5312,0.086,conservative,,
