timestamp,symbol,week_key,action,state,price,center_price,layer_id,detail,kind,body_strike,lower_strike,upper_strike,width,dte,entry_cost,entry_debit,entry_friction_cost,gross_deployment,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,adjustments_this_week
2025-05-19T18:30:00+00:00,SPX,2025-05-19,ADD_ADJUSTMENT,ADJUSTED,5953.68,0.0,11,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5955.0,5855.0,6055.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,1.0
2025-05-23T13:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5784.71,0.0,8,Aborted on trend-dominant week.,INITIAL,-75.0,-175.0,25.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
2025-05-23T13:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5784.71,0.0,9,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
2025-05-23T13:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5784.71,0.0,10,Aborted on trend-dominant week.,INITIAL,75.0,-25.0,175.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
2025-05-23T13:30:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5784.71,0.0,11,Aborted on trend-dominant week.,ADJUSTMENT,5955.0,5855.0,6055.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
2025-05-27T14:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5880.41,0.0,12,Opened an initial weekly butterfly layer.,INITIAL,-75.0,-175.0,25.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-05-27T14:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5880.41,0.0,13,Opened an initial weekly butterfly layer.,INITIAL,0.0,-100.0,100.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-05-27T14:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5880.41,0.0,14,Opened an initial weekly butterfly layer.,INITIAL,75.0,-25.0,175.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,
2025-05-27T14:30:00+00:00,SPX,2025-05-26,ADD_ADJUSTMENT,ADJUSTED,5892.82,0.0,15,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5895.0,5795.0,5995.0,100.0,12.0,22.056,22.0,0.056,22.056,,,,,,1.0
2025-05-30T19:00:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.22,0.0,12,Aborted on trend-dominant week.,INITIAL,-75.0,-175.0,25.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
2025-05-30T19:00:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.22,0.0,13,Aborted on trend-dominant week.,INITIAL,0.0,-100.0,100.0,100.0,,,,,,0.0,0.0,-22.056,-22.0,0.056,
