timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-06-13T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5998.29,6035.0,203.0,Opened the primary butterfly corridor layer.,PRIMARY,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T13:50:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,5993.35,6035.0,203.0,Regime turned TREND_DOWN.,PRIMARY,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056,none
2025-06-13T14:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5999.32,6015.0,204.0,Opened the primary butterfly corridor layer.,PRIMARY,5985.0,6015.0,6045.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T15:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6001.12,6015.0,,Corridor drift started.,,,,,,,,,,,,,13.88,,,,,,,
2025-06-13T15:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6006.73,6010.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-13T15:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6017.27,6015.0,205.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5985.0,6015.0,6045.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T15:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6020.77,6010.0,,Corridor drift started.,,,,,,,,,,,,,10.77,,,,,,,
2025-06-13T16:10:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6024.71,6005.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,19.71,6.0,,,,,,
2025-06-13T16:15:00+00:00,SPX,REBUILT,REBUILD,6025.2,6015.0,204.0,Removed prior layers for rebuild.,PRIMARY,5985.0,6015.0,6045.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.3299,10.3859,3.6739,3.7859,0.056,none
2025-06-13T16:15:00+00:00,SPX,REBUILT,REBUILD,6025.2,6015.0,205.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5985.0,6015.0,6045.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.2811,10.3371,3.6251,3.7371,0.056,none
