timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json
2026-03-24T16:07:00+00:00,2026-03-24 12:07:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,585.5,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.0164, ""range_width_pct"": 0.0049}"
2026-03-24T16:13:00+00:00,2026-03-24 12:13:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.82,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.2598, ""range_width_pct"": 0.0042}"
2026-03-24T16:17:00+00:00,2026-03-24 12:17:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,586.69,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.167, ""range_width_pct"": 0.0048}"
2026-03-24T16:23:00+00:00,2026-03-24 12:23:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.1,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.4877, ""range_width_pct"": 0.0042}"
2026-03-24T16:27:00+00:00,2026-03-24 12:27:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,586.69,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.3733, ""range_width_pct"": 0.0045}"
2026-03-24T16:33:00+00:00,2026-03-24 12:33:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,655.58,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.6513, ""range_width_pct"": 0.0042}"
2026-03-24T16:43:00+00:00,2026-03-24 12:43:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,655.1,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.5919, ""range_width_pct"": 0.0046}"
2026-03-24T16:44:00+00:00,2026-03-24 12:44:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,585.64,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.3339, ""range_width_pct"": 0.0054}"
2026-03-24T16:53:00+00:00,2026-03-24 12:53:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,655.38,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.5664, ""range_width_pct"": 0.004}"
2026-03-24T16:54:00+00:00,2026-03-24 12:54:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,585.58,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.1978, ""range_width_pct"": 0.0041}"
2026-03-24T17:11:00+00:00,2026-03-24 13:11:00 EDT,SPY,TREND_SHORT,TREND_DOWN,653.12,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 654.0578, ""stop_price"": 655.9143, ""target_price"": 648.9285, ""volume_ratio"": 2.31}"
2026-03-24T17:15:00+00:00,2026-03-24 13:15:00 EDT,SPY,EXIT_SHORT,NO_TRADE,652.99,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-24T17:38:00+00:00,2026-03-24 13:38:00 EDT,QQQ,TREND_SHORT,TREND_DOWN,583.28,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 583.4054, ""stop_price"": 584.6373, ""target_price"": 581.244, ""volume_ratio"": 1.08}"
2026-03-24T17:39:00+00:00,2026-03-24 13:39:00 EDT,QQQ,EXIT_SHORT,NO_TRADE,583.52,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-24T18:00:00+00:00,2026-03-24 14:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.56,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.8488, ""range_width_pct"": 0.004}"
2026-03-24T18:02:00+00:00,2026-03-24 14:02:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,584.72,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 584.1388, ""range_width_pct"": 0.0046}"
2026-03-24T18:10:00+00:00,2026-03-24 14:10:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,653.69,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.7743, ""range_width_pct"": 0.004}"
2026-03-24T18:12:00+00:00,2026-03-24 14:12:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,584.5,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 584.0351, ""range_width_pct"": 0.0046}"
2026-03-24T18:20:00+00:00,2026-03-24 14:20:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.03,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.6302, ""range_width_pct"": 0.004}"
2026-03-24T18:22:00+00:00,2026-03-24 14:22:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,584.26,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 583.8723, ""range_width_pct"": 0.0046}"
