timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2026-01-30T18:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6917.28,6930.0,1948.0,Opened the primary butterfly corridor layer.,PRIMARY,6830.0,6930.0,6990.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-01-30T18:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6901.68,6930.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,28.32,
2026-01-30T18:40:00+00:00,SPX,TAKE_PROFIT,DRIFTING,6910.93,6930.0,1948.0,Primary take-profit reached.,PRIMARY,6830.0,6930.0,6990.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.208,14.5996,17.262,2.5136,5.262,0.086,conservative,,
2026-02-02T15:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6972.83,6945.0,1949.0,Opened the primary butterfly corridor layer.,PRIMARY,6845.0,6945.0,7005.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-02T15:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6969.79,6950.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,19.79,
2026-02-02T16:30:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6977.21,6955.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,,,22.21,8.0
2026-02-02T16:35:00+00:00,SPX,REBUILT,REBUILD,6975.09,6945.0,1949.0,Removed prior layers for rebuild.,PRIMARY,6845.0,6945.0,7005.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.585,16.0684,1.499,4.0684,0.086,conservative,,
2026-02-02T16:35:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6975.09,6955.0,1950.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6855.0,6955.0,7015.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-02T16:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6973.74,6965.0,1951.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-02T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6975.2,6960.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,15.2,
2026-02-02T17:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6984.24,6970.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02T17:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6985.27,6970.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,15.27,
2026-02-02T17:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6986.37,6975.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6976.99,6955.0,1950.0,Session window closed.,PRIMARY,6855.0,6955.0,7015.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,14.2628,16.8657,2.1768,4.8657,0.086,conservative,,
2026-02-02T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6976.99,6965.0,1951.0,Session window closed.,SUPPLEMENTAL,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,14.8537,17.5609,2.7677,5.5609,0.086,conservative,,
