timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-07-17T17:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6291.47,6285.0,677,Opened the primary butterfly corridor layer.,PRIMARY,6225.0,6285.0,6345.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-17T17:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6290.85,6285.0,677,Primary take-profit reached.,PRIMARY,6225.0,6285.0,6345.0,60.0,7,13.256,13.2,,0.056,1,100,0.6623,22.0358,22.0918,8.7798,8.8918,0.056,none
2025-07-17T17:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6291.26,6290.0,678,Opened the primary butterfly corridor layer.,PRIMARY,6230.0,6290.0,6350.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-17T17:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6292.39,6290.0,678,Primary take-profit reached.,PRIMARY,6230.0,6290.0,6350.0,60.0,7,13.256,13.2,,0.056,1,100,0.6897,22.3991,22.4551,9.1431,9.2551,0.056,none
2025-07-18T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6307.17,6300.0,679,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T14:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6306.15,6300.0,679,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6599,22.0043,22.0603,8.7483,8.8603,0.056,none
2025-07-18T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6304.96,6300.0,680,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T14:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6300.78,6300.0,680,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.7025,22.5681,22.6241,9.3121,9.4241,0.056,none
2025-07-18T14:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6295.22,6300.0,681,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T14:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6294.79,6300.0,681,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6674,22.103,22.159,8.847,8.959,0.056,none
2025-07-18T14:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6295.04,6300.0,682,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T14:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6292.45,6300.0,682,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6489,21.8573,21.9133,8.6013,8.7133,0.056,none
2025-07-18T15:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6292.82,6300.0,683,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6295.33,6300.0,683,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6717,22.1597,22.2157,8.9037,9.0157,0.056,none
2025-07-18T15:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6293.82,6300.0,684,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6293.78,6300.0,684,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6594,21.9969,22.0529,8.7409,8.8529,0.056,none
2025-07-18T15:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6293.89,6300.0,685,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6296.45,6300.0,685,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6805,22.2773,22.3333,9.0213,9.1333,0.056,none
2025-07-18T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6298.92,6300.0,686,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6298.07,6300.0,686,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6934,22.4474,22.5034,9.1914,9.3034,0.056,none
2025-07-18T15:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6298.36,6300.0,687,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6300.44,6300.0,687,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.7052,22.6038,22.6598,9.3478,9.4598,0.056,none
2025-07-18T15:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6301.74,6300.0,688,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T15:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6301.35,6300.0,688,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.698,22.5083,22.5643,9.2523,9.3643,0.056,none
2025-07-18T16:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6298.67,6300.0,689,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T16:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6297.19,6300.0,689,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6864,22.355,22.411,9.099,9.211,0.056,none
2025-07-18T16:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6297.71,6300.0,690,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
