timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile,drift_count,primary_return_pct
2025-10-30T18:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6852.27,6865.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,,,
2025-10-30T18:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6850.2,6860.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30T18:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6845.38,6860.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,14.62,,,,,,,,,,
2025-10-30T18:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6850.54,6860.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30T18:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6846.76,6860.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.24,,,,,,,,,,
2025-10-30T19:30:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6835.95,6855.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,19.05,,,,,,,,,8.0,
2025-10-30T19:35:00+00:00,SPX,SESSION_FLUSH,REBUILD,6830.43,6885.0,402.0,Session window closed.,PRIMARY,6805.0,6885.0,6965.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.2852,25.4674,-0.2608,4.3474,0.426,0.4,0.026,conservative,,
2025-10-30T19:35:00+00:00,SPX,SESSION_FLUSH,REBUILD,6830.43,6880.0,403.0,Session window closed.,SUPPLEMENTAL,6800.0,6880.0,6960.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.5351,25.7614,-0.0109,4.6414,0.426,0.4,0.026,conservative,,
2025-10-31T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6854.72,6850.0,404.0,Opened the primary butterfly corridor layer.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T14:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6854.11,6850.0,405.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T14:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6860.57,6845.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,15.57,,,,,,,,,,
2025-10-31T15:15:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6868.11,6850.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,18.11,,,,,,,,,9.0,
2025-10-31T15:20:00+00:00,SPX,REBUILT,REBUILD,6864.96,6850.0,404.0,Removed prior layers for rebuild.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.9353,27.4087,1.3893,6.2887,0.426,0.4,0.026,conservative,,
2025-10-31T15:20:00+00:00,SPX,REBUILT,REBUILD,6864.96,6850.0,405.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.892,27.3578,1.346,6.2378,0.426,0.4,0.026,conservative,,
